latitude,longitude,Dataset,title,thumbnail_url,artist_name,year
33.94469,-118.398,LA Controller,Video art and sculptures,,Megan McLarney,Unknown
34.0523,-118.244,LA Controller,Sculptures and panels,,Peter Shelton,Unknown
33.75317,-118.293,LA Controller,Sculpture,,Michael Davis,Unknown
33.98153,-118.292,LA Controller,Stainless steel sculpture,,James Russell,Unknown
34.06588,-118.239,LA Controller,Exterior installation,,John David O'Brien,Unknown
34.25464,-118.502,LA Controller,Metal sculpture,,Wopo Holup,Unknown
33.94385,-118.246,LA Controller,Painted mural,,Richard Wyatt,Unknown
34.05081,-118.28,LA Controller,Interior mosaic sculpture,,Mary Lynn Dominguez,Unknown
34.06189,-118.446,LA Controller,"Sidewalk layout based on game ""Monopoly""",,Rod Baer,Unknown
34.26095,-118.58,LA Controller,Exterior sculptures,,Heath Satow,Unknown
34.14247,-118.186,LA Controller,Exterior sundial sculpture,,Stuart Williams,Unknown
34.27061,-118.466,LA Controller,Exterior installation,,May Sun,Unknown
34.23929,-118.372,LA Controller,Exterior mural and sculpture,,Victor Henderson,Unknown
34.27261,-118.468,LA Controller,Interior lobby mural and exterior sculpture,,Roberto Delgado,Unknown
34.035,-118.435,LA Controller,Six large terracotta medallions,,Laura Larson,Unknown
34.09133,-118.33,LA Controller,Exterior tile mural,,Laura Hull,Unknown
34.04982,-118.291,LA Controller,Exterior art installation,,Shauna Gillies-Smith,Unknown
34.03469,-118.44,LA Controller,Water feature with ceramic relief tile and 3-D bronze sculpture,,Gwynn Murrill,Unknown
34.27776,-118.56,LA Controller,Prism in skylight,,Peter Erskine,Unknown
34.17839,-118.382,LA Controller,Three interior paintings,,Ramon Ramirez,Unknown
34.09459,-118.227,LA Controller,Painted mural,,Cynthia Aponte,Unknown
34.17199,-118.386,LA Controller,"Exterior glass wall installation, interior glass wall",,Michael Davis,Unknown
34.24883,-118.388,LA Controller,Sculptural installation,,Jacqueline Dreager,Unknown
