latitude,longitude,Dataset,title,thumbnail_url,artist_name,year,art_type,location_description,geom,address
34.089111,-118.390938,Art Locations - City of West Hollywood,Untitled,images/WeHo/3023555728.jpg,Elena Irving,1987,Sculpture,1006 Carol Drive,"34.089110999999995,-118.39093799999999","1006, Carol Drive, Sunset Strip, West Hollywood, Los Angeles County, California, 90069, United States"
34.089703,-118.383736,Art Locations - City of West Hollywood,Archway,images/WeHo/3022727603.jpg,John Canavier,1987,Sculpture,8819 Harratt Street,"34.089703,-118.38373600000001","8819, Nellas Street, Sunset Strip, West Hollywood, Los Angeles County, California, 90069, United States"
34.091213,-118.384575,Art Locations - City of West Hollywood,3-D Sculpture,images/WeHo/3023555470.jpg,Donald Jackson,1987,Sculpture,1115 N Larrabee Street,"34.091213,-118.384575","1129, Larrabee Street, Sunset Strip, Hollywood Hills West, West Hollywood, Los Angeles County, California, 90069, United States"
34.092358,-118.375,Art Locations - City of West Hollywood,Untitled,images/WeHo/3022728251.jpg,Cynthia Barber,1987,Sculpture,1156 N. Hacienda Place,"34.092358000000004,-118.375","1176, Hacienda Place, West Hollywood, Los Angeles County, California, 90069, United States"
34.089352,-118.378716,Art Locations - City of West Hollywood,Untitled,images/WeHo/3022739149.jpg,David Verano,1987,Sculpture,8562 West Knoll Drive,"34.089352000000005,-118.378716","8586, West Knoll Drive, West Hollywood, Los Angeles County, California, 90069, United States"
34.08762,-118.382774,Art Locations - City of West Hollywood,Stairway Sculpture,images/WeHo/3023567126.jpg,Paul Betouliere,1987,Sculpture,884 N. Palm Ave,"34.08762,-118.382774","Cosmopolitan Apaartments, 884, Palm Avenue, Sunset Strip, West Hollywood, Los Angeles County, California, 90069, United States"
34.089905,-118.366096,Art Locations - City of West Hollywood,Tree of Life,images/WeHo/3023556390.jpg,David Rosen,1988,Mural,1031 N. Crescent Heights Boulevard,"34.089905,-118.366096","1055, North Crescent Heights Boulevard, Beverly Grove, West Hollywood, Los Angeles County, California, 90046, United States"
34.08902,-118.389626,Art Locations - City of West Hollywood,The Trojan,images/WeHo/3023556076.jpg,Giora Eshkol,1988,Sculpture,960 Doheny Drive,"34.08902,-118.389626","960, North Doheny Drive, West Hollywood, Los Angeles County, California, 90069, United States"
34.088291,-118.383011,Art Locations - City of West Hollywood,Untitled,images/WeHo/3023556756.jpg,R. Nikkhessal,1988,Sculpture,939 N. Palm Avenue,"34.088291,-118.38301100000001","939, Palm Avenue, Sunset Strip, West Hollywood, Los Angeles County, California, 90069, United States"
34.087391,-118.383598,Art Locations - City of West Hollywood,Untitled,images/WeHo/3022728639.jpg,Lee Kelly,1988,Sculpture,8815 Cynthia Street,"34.087391,-118.38359799999999","8815, Cynthia Street, West Hollywood, Los Angeles County, California, 90069, United States"
34.087208,-118.388588,Art Locations - City of West Hollywood,Mediterraneo,images/WeHo/3022728905.jpg,Alona Hamilton Cooke,1988,Fountain and tile work,9024 Cynthia Street,"34.087208000000004,-118.38858799999998","9024, Cynthia Street, West Hollywood, Los Angeles County, California, 90069, United States"
34.088493,-118.378586,Art Locations - City of West Hollywood,Surfboard Tiki,images/WeHo/3174969420.jpg,Peter Shire,1988,Sculpture,8585 Santa Monica Blvd,"34.088493,-118.37858600000001","Ramada Plaza by Wyndham West Hollywood Hotel & Suites, 8585, Santa Monica Boulevard, West Hollywood, Los Angeles County, California, 90069, United States"
34.089134,-118.384575,Art Locations - City of West Hollywood,La Bodega,images/WeHo/3022729917.jpg,Alan S. Boivin,1989,Architectural,963 N Larrabee Street,"34.089134,-118.384575","963, Larrabee Street, Sunset Strip, West Hollywood, Los Angeles County, California, 90069, United States"
34.088085,-118.389648,Art Locations - City of West Hollywood,Abstract,images/WeHo/3022729609.jpg,Paul Betouliere,1989,Sculpture,930 N Doheny Drive,"34.088085,-118.389648","930, North Doheny Drive, West Hollywood, Los Angeles County, California, 90069, United States"
34.093502,-118.368736,Art Locations - City of West Hollywood,Untitled,images/WeHo/3023557414.jpg,Unknown,1989,Architectural,1260 N. Harper Avenue,"34.093502,-118.36873600000001","1268, North Harper Avenue, West Hollywood, Los Angeles County, California, 90046, United States"
34.093903,-118.368713,Art Locations - City of West Hollywood,All Tiled Up,images/WeHo/3023557908.jpg,Massoud Arabshahi,1990,Architectural,1274 N. Harper Avenue,"34.093903000000005,-118.36871299999999","1284, North Harper Avenue, West Hollywood, Los Angeles County, California, 90046, United States"
34.091411,-118.376442,Art Locations - City of West Hollywood,Implied Arch,images/WeHo/3023557098.jpg,John Geise,1991,Sculpture,1121 N. La Cienega Boulevard,"34.091411,-118.376442","1139, North La Cienega Boulevard, Sunset Strip, West Hollywood, Los Angeles County, California, 90069, United States"
34.08923,-118.381355,Art Locations - City of West Hollywood,Untitled,images/WeHo/3022730511.jpg,Constance Leslie,1991,Sculpture,990 N. Hancock Ave,"34.08923,-118.381355","8798, West Knoll Drive, West Hollywood, Los Angeles County, California, 90069, United States"
34.095001,-118.368752,Art Locations - City of West Hollywood,Reina De Los Angeles,images/WeHo/3022730741.jpg,Peter Dudar & Sally Mark,1992,Sculpture,1320 N. Harper Avenue,"34.095001,-118.368752","North Harper Avenue, Sunset Strip, West Hollywood, Los Angeles County, California, 90046-2549, United States"
34.09079,-118.372444,Art Locations - City of West Hollywood,Floraform,images/WeHo/3022731219.jpg,Paul Tzanetopoulos,1995,Architectural,8383 Santa Monica Boulevard,"34.090790000000005,-118.37244399999999","West Hollywood Parking, 8383, Santa Monica Boulevard, West Hollywood, Los Angeles County, California, 90069, United States"
34.086369,-118.379753,Art Locations - City of West Hollywood,Untitled,images/WeHo/3023559384.jpg,Richard Wyatt,1995,Architectural,861 Westbourne Drive,"34.086369,-118.37975300000001","8704, Westbourne Drive, West Hollywood, Los Angeles County, California, 90069, United States"
34.09322,-118.344254,Art Locations - City of West Hollywood,Sidewalks in Time,images/WeHo/30092687305.jpg,Paul Tzanetopoulos,1995,Mural,1233 La Brea Ave.,"34.09322,-118.344254","1235, North La Brea Avenue, West Hollywood, Los Angeles County, California, 90038, United States"
34.094452,-118.374268,Art Locations - City of West Hollywood,Untitled,images/WeHo/3023559474.jpg,Phillipe Starck,1996,Sculpture,8440  Sunset Boulevard,"34.094452000000004,-118.37426799999999","Mondrian Los Angeles Hotel, 8440, West Sunset Boulevard, Sunset Strip, West Hollywood, Los Angeles County, California, 90069, United States"
34.076862,-118.379417,Art Locations - City of West Hollywood,Untitled,images/WeHo/3023563778.jpg,Billy Al Bengston,1996,Mural,310 N. San Vicente Boulevard,"34.076862,-118.37941699999999","San Vicente & Beverly, North San Vicente Boulevard, West Hollywood, Los Angeles County, California, 90069, United States"
34.088135,-118.379234,Art Locations - City of West Hollywood,Untitled,images/WeHo/3023564160.jpg,Bowman,1997,Mural,8611 Santa Monica Blvd,"34.088135,-118.37923400000001","Trader Joe's Parking, Westmount Drive, West Hollywood, Los Angeles County, California, 90069, United States"
34.091991,-118.383453,Art Locations - City of West Hollywood,Owl Dream,images/WeHo/3023564612.jpg,Eric Leimburg,1998,Architectural,1145 N Horn Avenue,"34.091991,-118.383453","1151, Horn Avenue, Sunset Strip, West Hollywood, Los Angeles County, California, 90069, United States"
34.087109,-118.385262,Art Locations - City of West Hollywood,Where Fire Meets Water,images/WeHo/3023565088.jpg,Michael Amescua,1999,Architectural,8866 Cynthia Street (Fire Station),"34.087109000000005,-118.38526200000001","Los Angeles County Fire Department Station No. 7, 864, North San Vicente Boulevard, West Hollywood, Los Angeles County, California, 90069, United States"
34.082317,-118.377669,Art Locations - City of West Hollywood,Cauldron Stone,images/WeHo/3023564910.jpg,Yoshikawa,1999,Sculpture,613 West Knoll Dr.,"34.082316999999996,-118.377669","619, West Knoll Drive, West Hollywood, Los Angeles County, California, 90069, United States"
34.091572,-118.350922,Art Locations - City of West Hollywood,The Riddle of the Sphinx,images/WeHo/3023566046.jpg,Richard Turner,2000,Sculpture,7377 Santa Monica Boulevard (Plummer Park),"34.091572,-118.350922","Santa Monica Boulevard, West Hollywood, Los Angeles County, California, 90046-4101, United States"
34.090995,-118.36129,Art Locations - City of West Hollywood,En Passant,images/WeHo/3022738505.jpg,Barbara McCarren,2000,Urban Design,7900 Santa Monica Boulevard,"34.090995,-118.36129","7899, Santa Monica Boulevard, West Hollywood, Los Angeles County, California, 90046, United States"
34.077342,-118.389343,Art Locations - City of West Hollywood,A Moment In Time,images/WeHo/3022737155.jpg,Gifford Myers,2001,Sculpture,9105 Beverly Boulevard,"34.077342,-118.389343","Bristol Farms, North Doheny Drive, West Hollywood, Los Angeles County, California, 90069, United States"
34.089737,-118.386398,Art Locations - City of West Hollywood,Serenity Fountain,images/WeHo/3022739985.jpg,Adam Leventhal,2001,Fountain,1014 Hilldale Avenue,"34.089737,-118.386398","1016, Hilldale Avenue, Sunset Strip, Hollywood Hills West, West Hollywood, Los Angeles County, California, 90069, United States"
34.084969,-118.383583,Art Locations - City of West Hollywood,Tonic or Age of Noise,images/WeHo/3023566426.jpg,Bruce Odland,2002,Sculpture,8840 Santa Monica Boulevard,"34.084969,-118.383583","Santa Monica & San Vicente, Santa Monica Boulevard, West Hollywood, Los Angeles County, California, 90069, United States"
34.092461,-118.378395,Art Locations - City of West Hollywood,Eye Flower,images/WeHo/3023565388.jpg,James Surls,2002,Sculpture,8560 & 8590 Sunset Boulevard,"34.092461,-118.378395","8570, West Sunset Boulevard, Sunset Strip, West Hollywood, Los Angeles County, California, 90069, United States"
34.096123,-118.368805,Art Locations - City of West Hollywood,A Quiet Moment or The Lightness of Being,images/WeHo/3022738941.jpg,Patrick McGrath,2003,Sculpture,1414 N. Harper Avenue,"34.096123,-118.36880500000001","North Harper Avenue, Sunset Strip, West Hollywood, Los Angeles County, California, 90046-2549, United States"
34.090576,-118.344711,Art Locations - City of West Hollywood,e/MOTION,images/WeHo/3022738023.jpg,Paul Tzanetopoulos,2003,Video Screen and projections,7102 Santa Monica Boulevard,"34.090576,-118.344711","West Hollywood Gateway, Romaine Street, Fairfax, West Hollywood, Los Angeles County, California, 90046-4101, United States"
34.081963,-118.376343,Art Locations - City of West Hollywood,Children's Clock,images/WeHo/3022737693.jpg,Lynn Goodpasture,2003,Architectural,563 N. Alfred Street,"34.081963,-118.37634299999999","Melrose Avenue, West Hollywood, Los Angeles County, California, 90069, United States"
