County,count,Year Finished or Found*
Adams-Normandie,13,"1990,
1949,
1949,
1949,
1993,
1992,
1992,
1992,
1992,
1949,
1949,
1949,
1949"
Alhambra,2,"1939,
1978"
Angelino Heights,10,"1939,
1986,
1990,
1990,
1990,
1990,
1984,
1984,
1984,
1984"
Arleta,1,1994
Athens,1,1995
Baldwin Hills/Crenshaw,1,1995
Bell,1,1992
Belmont Shore,3,"1994,
1990,
1939"
Beverly Grove,3,"1994,
1969-1970,
1991"
Beverly Hills,1,1934
Bixby Knolls,2,"1989,
1989"
Boyle Heights,389,"1974,
1989,
1971,
1971,
1971,
1971,
1971,
1970,
1970,
1970,
1970,
1970,
1971,
1971,
1971,
1971,
1971,
1970,
1970,
1970,
1970,
1970,
1973,
1973,
1975,
1975,
1975,
1974,
1976,
1977,
1974,
1974,
1974,
1974,
1975,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1983,
1973,
1987,
1987,
1987,
1987,
1983,
1984,
1976,
1976,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1975,
1991,
1991,
1991,
1993,
1993,
1976,
1973,
1973,
1976,
1979,
1979,
1979,
1979,
1979,
1979,
1979,
1973,
1990,
1997,
1989,
1973,
1988,
1991,
1991,
1991,
1974,
1974,
1974,
1974,
1974,
1974,
1976,
1976,
1975,
1975,
1975,
1975,
1975,
1975,
1992,
1992,
1980,
1980,
1980,
1980,
1980,
1980,
1980,
1980,
1980,
1980,
1980,
1980,
1980,
1980,
1980,
1980,
1980,
1991,
1994,
1994,
1992,
1990,
1994,
1976,
1976,
1974,
1991,
1991,
1991,
1991,
1976,
1970,
1973,
1974,
1980,
1978,
1978,
1973,
1973,
1990,
1973,
1973,
1973,
1973,
1973,
1973,
1973,
1973,
1976,
1976,
1991,
1978,
1987,
1975,
1992,
1992,
1992,
1992,
1992,
1992,
1982,
1982,
1974,
1989,
1994,
1994,
1994,
1978,
1977,
1974,
1974,
1973,
1975,
1975,
1999,
1974,
1976,
1976,
1975,
1975,
1975,
1975,
1976,
1976,
1980,
1980,
1980,
1980,
1980,
1980,
1975,
1975,
1975,
1976,
1975,
1975,
1975,
1975,
1975,
1976,
1970,
1976,
1989,
1989,
1989,
1989,
1993,
1978,
1978,
1974,
1991,
1991,
1991,
1991,
1976,
1975,
1975,
1975,
1975,
1975,
1975,
1995,
1973,
1973,
1973,
1973,
1975,
1973,
1973,
1973,
1973,
1973,
1973,
1973,
1975,
1973,
1973,
1973,
1978,
1978,
1978,
1978,
1978,
1978,
1978,
1978,


































































































































































































































































































































































































































































































































































































































"
Broadway-Manchester,3,"1978,
1978,
1978"
Bunker Hill,4,"1990,
1987,
1983,
1991"
Burbank,3,"1940,
1998,
1942"
Calabasas,1,1989
Carson,3,"1992,
1992,
1992"
Central-Alameda,3,"1990,
2001,
1937"
Century City,1,1937
Chesterfield Square,1,1992
Cheviot Hills,4,"1992,
1992,
1992,
1992,"
Chinatown,7,"1968,
1944,
1991,
1977,
1976,
1941,
1984,"
Claremont,14,"1946,
1946,
1946,
1946,
1946,
2000,
1930,
1930,
1930,
1967,
1966,
1960,
1965,
1969,"
Commerce,5,"1979,
1983,
1983,
1983,
1991,"
Compton,5,"1990,
1999,
1995,
1936,
1977,"
Culver City,6,"1997,
1979,
1979,
1979,
1979,
1979,"
Del Rey,6,"1988,
1988,
1988,
1988,
1988,
1988,"
Downey,1,"1982,"
Downtown,64,"1984,
1984,
1984,
1942,
1992,
1992,
1992,
1992,
1992,
1992,
1984,
1979,
1996,
1985,
1988,
1992,
1992,
1992,
1992,
1992,
1984,
1984,
1984,
1984,
1984,
1931,
1975,
1996,
1993,
1994,
1994,
1994,
1983,
1986,
1986,
1986,
1974,
1982,
1980,
1974,
1993,
1978,
1984,
1994,
1973,
1975,
1975,
1975,
1926,
1991,
1984,
1991,
1991,
1991,
1990,
1990,
1930,
1935,
1991,
1996,
1990,
1990,
1990,
1990,"
Duarte,2,"1972,
1936,"
Eagle Rock,3,"1987,
1983,
1986,"
East Hollywood,18,"1991,
1996,
1997,
1997,
1992,
1992,
1992,
1992,
1976,
1997,
1997,
1991,
2002,
1972,
1982,
1970,
1991,
1991,"
East Los Angeles,202,"1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1974,
1972,
1975,
1975,
1968,
1986,
1970,
1972,
1979,
1979,
1979,
1976,
1976,
1972,
1974,
1976,
1970,
1970,
1970,
1970,
1970,
1970,
1975,
1976,
1976,
1976,
1975,
1975,
1975,
1975,
1975,
1975,
1976,
1976,
1976,
1975,
1975,
1975,
1975,
1975,
1975,
1980,
1980,
1980,
1980,
1994,
1972,
1991,
1974,
1978,
1975,
1975,
1975,
1975,
1975,
1975,
1975,
1975,
1975,
1975,
1975,
1975,
1975,
1975,
1984,
1969,
1993,
1973,
1978,
1996,
1980,
1980,
1980,
1980,
1980,
1966,
1966,
1978,
1978,
1978,
1989,
1990,
1991,
1991,
1991,
1991,
1991,
1991,
2000,
2001,
2001,
2001,
1979,
1979,
1979,
1979,
1979,
1979,
1979,
1979,
1979,
1995,
1995,
1995,
1977,
1976,
1970,
1975,
1975,
1975,
1975,
1975,
1975,
1967,
1976,
1976,
1976,
1976,
1978,
1978,
1978,
1977,
1976,
1977,
1975,
1975,
1976,
1976,
1976,
1976,
1976,
1976,
1977,
1975,
1975,
1975,
1975,
1975,
1975,
1967,
1976,
1976,
1976,
1976,
1978,
1978,
1978,
1975,
1975,
1975,
1975,
1975,
1975,
1975,
1975,
1975,
1967,
1972,
1972,
1972,
1976,
1976,
1976,
1976,
1975,
1975,
1975,
1975,
1975,
1975,
1972,
1976,
1976,
1976,
1976,
1976,
1976,
1976,
1976,
1976,
1976,
1976,
1973,
1973,
1973,
1973,
1973,
1973,"
Echo Park,21,"1935,
1975,
1992,
1992,
1992,
1992,
1992,
1975,
1975,
1975,
1976,
1996,
1997,
2001,
1996,
1984,
1984,
1984,
1984,
1996,
1997,"
El Segundo,6,"1995,
1995,
1995,
1995,
1996,
1997,"
Exposition Park,5,"1975,
1975,
1975,
1975,
1999,"
Fairfax,10,"1985,
1991,
1993,
1994,
1994,
1994,
1994,
1991,
1993,
1998,"
Glendale,1,"1984,"
Green Meadows,3,"1970,
2002,
1995,"
Hancock Park,4,"1985,
1989,
1989,
1989,"
Harvard Heights,3,"1990,
1993,
1990,"
Hawthorne,1,1969
